gene_id	transcript_id	baseline_top3_mean_score	baseline_rank	n_windows	best_window_region_type	best_window_is_CDS	best_window_is_5UTR	best_window_is_3UTR	best_window_is_ncRNA	best_window_is_unknown	top3_CDS_fraction	top3_UTR_fraction	top3_ncRNA_fraction	top3_unknown_fraction	top3_inverted_repeat_score_mean	top3_palindrome_score_mean	top3_reverse_complement_4mer_density_mean	top3_reverse_complement_5mer_density_mean	top3_reverse_complement_6mer_density_mean	top3_local_self_complementarity_score_mean	top3_simple_repeat_score_mean	top3_stem_like_score_mean	top3_structure_peakiness_score_mean	top3_longest_high_paired_run_mean	top3_paired_run_density_mean	top3_max_local_paired_mean_41nt_mean	top3_max_local_paired_mean_81nt_mean	max_stem_like_score	max_longest_high_paired_run	score	audit_group	top_k_group
LOC_Os01g10504	LOC_Os01g10504.2	0.9862287033333332	309	68	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.7449995528603216	0.469295847976051	0.7072758037225042	0.54421768707483	0.47350427350427354	1.0	0.056473731851914795	0.8858623920223577	0.2666286047171521	42.0	0.6683333333333333	0.98925384273374	0.944274211616673	0.8933439723069106	42.0	4.970423959112258	Top200 false positives	200
LOC_Os08g45170	LOC_Os08g45170.3	0.9933251666666668	49	93	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.7424906742201882	0.38594299101913315	0.7038917089678511	0.5493197278911565	0.4683760683760683	0.9908658658658659	0.070226641297198	0.8309386479240771	0.2943511864310047	41.0	0.655	0.962815943772231	0.8648881311279265	0.8909163808434961	49.0	4.686161036711346	Top200 false positives	200
LOC_Os12g37480	LOC_Os12g37480.1	0.99835217	2	19	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.8087206606713494	0.3441407436331294	0.8477157360406092	0.7125850340136054	0.5931623931623932	0.8901401401401401	0.11320090499699915	0.8614572871603619	0.23583629607833864	36.666666666666664	0.7200000000000001	0.9643718614810854	0.9013791663165934	0.8914127604166667	42.0	4.639007456843487	Top200 false positives	200
LOC_Os03g25110	LOC_Os03g25110.1	0.9919693533333334	80	30	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.7361541117813779	0.4088897566054926	0.6920473773265652	0.532312925170068	0.4564102564102564	1.0	0.07768227763038126	0.8283243616615854	0.29218699229660866	36.333333333333336	0.6316666666666667	0.9449730849847562	0.9169753588766718	0.839696471671748	39.0	4.623088994107934	Top200 false positives	200
LOC_Os11g05970	LOC_Os11g05970.1	0.9610196566666668	2319	25	unknown	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.7225242141630829	0.4233242223089939	0.688663282571912	0.49489795918367346	0.4290598290598291	1.0	0.05014917687171091	0.8733576812330623	0.26490964025579483	38.333333333333336	0.695	0.9834063770325207	0.9311981201171875	0.9008985962906504	41.0	4.6174696267645965	Top200 false positives	200
LOC_Os02g08364	LOC_Os02g08364.1	0.98704538	265	49	unknown	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.7294218261803467	0.4200008677166038	0.6954314720812182	0.5272108843537415	0.44273504273504277	0.9817317317317317	0.05828032372609838	0.8493370953484926	0.24089496222234538	39.666666666666664	0.7066666666666667	0.9580112860454776	0.9105510083736214	0.8970268038617886	53.0	4.500081895586668	Top200 false positives	200
LOC_Os04g20400	LOC_Os04g20400.1	0.9796863566666666	739	35	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.7544644639060882	0.32818777387305303	0.7461928934010151	0.5714285714285715	0.4547008547008547	1.0	0.07077598034867656	0.8147575525216618	0.2400531279944604	31.0	0.735	0.9342726575649855	0.9077337568188891	0.8548975384719973	31.0	4.358468059212071	Top200 false positives	200
LOC_Os08g43090	LOC_Os08g43090.1	0.9647442933333332	1940	40	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.709248212105355	0.35198056314807585	0.6666666666666666	0.4829931972789116	0.39658119658119667	1.0	0.053926053287990966	0.824847829761867	0.2633023478683606	34.333333333333336	0.6916666666666668	0.9245434892856011	0.8868530964164577	0.8928658238852897	39.0	4.323299088597186	Top200 false positives	200
LOC_Os05g01380	LOC_Os05g01380.1	0.9916634866666666	88	22	unknown	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.7139131274011623	0.3255455768146123	0.7326565143824028	0.46938775510204084	0.36752136752136755	1.0	0.08120036571428321	0.7744542985621506	0.3435743888731926	32.0	0.6233333333333333	0.9000295623531186	0.8630476115662374	0.7900140926702236	32.0	4.194446041127349	Top200 false positives	200
LOC_Os07g01490	LOC_Os07g01490.2	0.9807246333333334	666	107	unknown	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.7290180547033339	0.3731745411948457	0.6751269035532995	0.5238095238095237	0.4461538461538462	1.0	0.048459273754410385	0.7276537755123645	0.29157666721010717	26.0	0.585	0.9479613265370933	0.8759059356563865	0.7375895976244919	26.0	4.181191965688708	Top200 false positives	200
